Student Number ,Section,Age,Gender,Residency Category,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)"
21-00357,BSIT-1A,18,Male,PR,"below 9,520.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00285,BSIT-1B,18,Female,PR,"below 9,520.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-01024,BSIT-1C,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No
21-00006,BSIT-1B,20,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
21-00991,BSIT-1C,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No
21-00268,BSIT-1A,19,Male,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,2.49 - 2.00,No
21-00095,BSIT-1B,19,Female,PR,"19,041.00 - 38,080.00",Private,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,No
21-01069,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Private,4th year high school,81 - 84,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,Yes
21-01100,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Public,4th year high school,75 - 80,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,below 3.00,below 3.00,No
21-00997,BSIT-1C,21,Male,PR,"below 9,520.00",Public,4th year high school,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No
21-01095,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,Yes
21-00951,BSIT-1D,22,Male,PR,"19,041.00 - 38,080.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,No
21-00943,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Private,STEM,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00681,BSIT-1C,18,Male,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No
21-00922,BSIT-1D,22,Male,PR,"below 9,520.00",Private,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,below 3.00,below 3.00,No
