Student Number,Section,Age,Gender,Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
20-00336,BSIT-2A,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,Yes,Continue
20-00694,BSIT-2A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00356,BSIT-2A,19,Male,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
20-00793,BSIT-2A,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00337,BSIT-2A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00738,BSIT-2A,19,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00867,BSIT-2A,19,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00899,BSIT-2A,21,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,No,Continue
20-00361,BSIT-2A,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00300,BSIT-2A,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00869,BSIT-2A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00856,BSIT-2A,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00328,BSIT-2A,18,Female,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00313,BSIT-2A,19,Male,NPR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,Yes,Continue
20-00369,BSIT-2A,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00342,BSIT-2A,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00363,BSIT-2A,20,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00896,BSIT-2A,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,Yes,Continue
20-00397,BSIT-2A,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00872,BSIT-2A,20,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,No,Continue
20-00383,BSIT-2A,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
20-00870,BSIT-2A,18,Male,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,No,Continue
20-00398,BSIT-2A,21,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
20-00868,BSIT-2A,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00469,BSIT-2A,20,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00394,BSIT-2A,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00327,BSIT-2A,18,Female,PR,"below 9,520.00",Public,TVL,81 - 84,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00338,BSIT-2A,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
20-00837,BSIT-2A,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00859,BSIT-2A,19,Male,NPR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
20-00301,BSIT-2A,18,Female,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
20-00389,BSIT-2A,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,No,Continue
20-00321,BSIT-2A,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,No,Continue
